id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,metal,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,soul,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Hours,Slow Stereo,jazz,relaxed,0.33,88,0.68,0.51,0.91
12,Adrenaline Line,Voltline,rock,intense,0.95,148,0.52,0.70,0.08
13,Paper Moons,Paper Lanterns,lofi,focused,0.38,76,0.57,0.59,0.82
14,Electric Bloom,Neon Echo,synthwave,moody,0.72,112,0.45,0.71,0.24
15,Morning Commute,Indigo Parade,folk,happy,0.69,120,0.79,0.80,0.40
16,Deep Space Drift,Orbit Bloom,ambient,chill,0.25,58,0.62,0.38,0.94
17,Power Set,Max Pulse,pop,intense,0.90,130,0.75,0.86,0.07
18,Quiet Terminal,LoRoom,classical,chill,0.44,82,0.55,0.63,0.74
19,Skyline Anthem,Neon Echo,pop,happy,0.85,122,0.86,0.81,0.16
20,Amber Fields,Orbit Bloom,ambient,relaxed,0.30,64,0.66,0.43,0.90
